Date,CRIME_COUNT
2014-11-07,781
2016-06-22,749
2016-06-24,807
2016-07-27,795
2016-08-14,843
2011-08-21,1007
2011-10-27,956
2011-11-18,930
2011-12-01,1053
2011-12-06,875
2011-12-07,834
2014-11-21,733
2014-09-18,868
2014-09-30,781
2019-11-26,678
2015-02-07,679
2016-05-11,758
2017-01-26,675
2016-09-24,833
2016-09-20,792
2016-04-13,715
2016-11-26,719
2016-11-29,698
2015-06-07,739
2009-01-09,1056
2009-01-23,979
2019-08-15,814
2018-08-12,843
2012-01-18,791
2012-05-13,819
2019-11-24,698
2020-02-04,649
2020-05-07,420
2020-01-29,620
2020-06-06,529
2016-12-31,704
2016-12-01,822
2017-01-02,613
2017-01-10,705
2016-12-22,702
2017-04-30,657
2017-05-11,737
2017-06-02,841
2009-04-01,1259
2019-07-11,765
2012-03-01,1043
2012-03-14,930
2012-08-12,945
2019-09-24,757
2020-07-04,744
2020-03-10,565
2021-01-06,483
2021-03-03,565
2009-06-14,1063
2009-06-21,1158
2009-08-25,1156
2009-08-24,1089
2018-12-05,712
2012-07-20,1072
2012-09-18,832
2012-10-19,943
2012-11-14,847
2012-11-24,838
2013-02-11,760
2017-11-11,688
2017-08-16,795
2017-08-30,788
2017-09-01,920
2017-10-03,738
2018-01-27,754
2019-05-29,738
2020-10-31,625
2020-11-12,521
2020-11-15,521
2020-12-02,509
2021-03-29,497
2009-11-04,1098
2009-10-14,1050
2013-03-13,824
2013-04-12,922
2013-05-09,837
2018-04-14,689
2018-04-15,603
2017-12-27,523
2018-05-18,800
2021-04-11,479
2021-05-12,489
2021-05-30,587
2021-06-01,665
2021-07-19,565
2021-08-15,594
2015-07-06,757
2010-02-18,1036
2010-02-25,885
2010-03-18,1157
2010-04-12,1017
2010-04-27,1026
2010-05-10,1100
2019-08-10,800
2013-11-09,773
2013-11-20,870
2013-09-16,776
2013-09-28,923
2013-09-29,758
2018-07-29,776
2018-10-31,885
2021-09-11,656
2021-09-19,708
2021-09-24,591
2021-08-05,571
2021-09-27,630
2010-09-20,1083
2010-09-01,1229
2019-01-27,524
2019-02-17,618
2010-09-15,1057
2010-09-09,1014
2011-01-05,896
2011-03-02,822
2013-10-17,777
2013-11-04,831
2014-03-12,660
2014-04-19,756
2014-05-08,767
2013-12-17,756
2013-12-24,542
2014-02-11,596
2014-02-15,639
2018-10-18,725
2015-11-20,714
2015-07-21,777
2015-12-17,728
2019-11-10,652
2015-03-22,656
2011-04-04,1031
2011-09-03,997
2014-07-20,844
2014-08-04,782
2014-08-29,885
2016-01-29,746
2016-02-28,624
2016-04-05,677
2016-04-12,701
2016-08-07,838
2016-08-21,786
2016-05-24,803
2011-06-28,1079
2011-07-10,1080
2011-07-19,1069
2011-07-27,1094
2011-12-02,1000
2014-12-15,729
2019-09-06,772
2020-05-02,493
2016-05-26,767
2016-04-24,756
2016-06-01,938
2016-10-10,724
2016-11-13,660
2009-01-19,804
2017-11-01,825
2012-01-02,702
2020-08-20,638
2012-01-09,883
2012-01-15,772
2012-02-21,850
2012-02-19,785
2019-08-13,762
2019-07-24,745
2019-07-30,777
2019-10-08,712
2020-05-21,495
2017-01-16,652
2017-03-05,662
2017-05-16,748
2017-07-02,780
2009-02-24,963
2009-02-26,938
2009-01-21,1038
2012-06-06,1024
2019-06-28,847
2012-06-28,939
2012-06-30,1011
2020-09-20,604
2020-06-21,594
2021-01-02,448
2020-10-07,614
2020-07-22,612
2020-10-08,563
2020-03-12,633
2021-01-12,566
2021-01-15,582
2021-01-16,485
2021-02-16,365
2021-02-26,570
2021-03-16,480
2009-08-26,1181
2009-09-10,1186
2009-09-16,1135
2012-12-01,1059
2012-12-09,761
2013-02-19,750
2017-11-08,758
2017-11-17,741
2017-10-19,773
2017-10-16,763
2020-11-20,645
2020-12-10,579
2021-02-01,534
2009-07-20,1159
2015-05-22,824
2009-10-31,1183
2009-12-14,1017
2013-03-04,814
2013-06-04,858
2018-02-26,625
2018-08-18,912
2018-08-20,748
2018-08-22,851
2018-08-25,837
2018-08-27,825
2018-05-14,788
2019-06-10,798
2019-06-12,715
2010-02-27,908
2010-04-10,1144
2010-01-13,991
2010-05-23,1056
2013-06-30,934
2013-08-17,944
2013-08-02,969
2013-09-10,916
2013-09-13,887
2013-09-25,886
2018-06-08,774
2019-01-24,607
2018-10-17,690
2021-09-16,671
2021-09-29,642
2021-12-09,580
2010-06-22,1042
2010-07-09,1097
2010-07-14,1128
2010-07-29,1004
2019-06-14,806
2018-12-12,759
2018-12-19,740
2019-03-07,610
2019-03-26,672
2019-04-20,730
2019-04-29,717
2019-05-16,740
2015-06-30,749
2010-08-03,1047
2010-09-23,1086
2011-01-14,987
2011-01-15,895
2011-03-04,941
2010-12-05,767
2013-10-25,843
2019-07-05,891
2013-12-03,856
2014-01-27,546
2014-02-13,643
2015-09-18,791
2015-11-05,754
2015-08-06,809
2015-08-11,791
